,Target Column,correlation Value Threshold,Correlated Columns,Columns to Exclude
0,type,0.4,"['fixed acidity', 'volatile acidity', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'sulphates']","['alcohol' 'citric acid' 'density' 'pH' 'quality' 'quality_range'
 'residual sugar']"
1,fixed acidity,0.4,"['type', 'density']","['alcohol' 'chlorides' 'citric acid' 'free sulfur dioxide' 'pH' 'quality'
 'quality_range' 'residual sugar' 'sulphates' 'total sulfur dioxide'
 'volatile acidity']"
2,volatile acidity,0.4,"['type', 'total sulfur dioxide']","['alcohol' 'chlorides' 'citric acid' 'density' 'fixed acidity'
 'free sulfur dioxide' 'pH' 'quality' 'quality_range' 'residual sugar'
 'sulphates']"
3,citric acid,0.4,[],"['alcohol' 'chlorides' 'density' 'fixed acidity' 'free sulfur dioxide'
 'pH' 'quality' 'quality_range' 'residual sugar' 'sulphates'
 'total sulfur dioxide' 'type' 'volatile acidity']"
4,residual sugar,0.4,"['free sulfur dioxide', 'total sulfur dioxide', 'density']","['alcohol' 'chlorides' 'citric acid' 'fixed acidity' 'pH' 'quality'
 'quality_range' 'sulphates' 'type' 'volatile acidity']"
5,chlorides,0.4,['type'],"['alcohol' 'citric acid' 'density' 'fixed acidity' 'free sulfur dioxide'
 'pH' 'quality' 'quality_range' 'residual sugar' 'sulphates'
 'total sulfur dioxide' 'volatile acidity']"
6,free sulfur dioxide,0.4,"['type', 'residual sugar', 'total sulfur dioxide']","['alcohol' 'chlorides' 'citric acid' 'density' 'fixed acidity' 'pH'
 'quality' 'quality_range' 'sulphates' 'volatile acidity']"
7,total sulfur dioxide,0.4,"['type', 'volatile acidity', 'residual sugar', 'free sulfur dioxide']","['alcohol' 'chlorides' 'citric acid' 'density' 'fixed acidity' 'pH'
 'quality' 'quality_range' 'sulphates']"
8,density,0.4,"['fixed acidity', 'residual sugar', 'alcohol']","['chlorides' 'citric acid' 'free sulfur dioxide' 'pH' 'quality'
 'quality_range' 'sulphates' 'total sulfur dioxide' 'type'
 'volatile acidity']"
9,pH,0.4,[],"['alcohol' 'chlorides' 'citric acid' 'density' 'fixed acidity'
 'free sulfur dioxide' 'quality' 'quality_range' 'residual sugar'
 'sulphates' 'total sulfur dioxide' 'type' 'volatile acidity']"
10,sulphates,0.4,['type'],"['alcohol' 'chlorides' 'citric acid' 'density' 'fixed acidity'
 'free sulfur dioxide' 'pH' 'quality' 'quality_range' 'residual sugar'
 'total sulfur dioxide' 'volatile acidity']"
11,alcohol,0.4,"['density', 'quality']","['chlorides' 'citric acid' 'fixed acidity' 'free sulfur dioxide' 'pH'
 'quality_range' 'residual sugar' 'sulphates' 'total sulfur dioxide'
 'type' 'volatile acidity']"
12,quality,0.4,"['alcohol', 'quality_range']","['chlorides' 'citric acid' 'density' 'fixed acidity' 'free sulfur dioxide'
 'pH' 'residual sugar' 'sulphates' 'total sulfur dioxide' 'type'
 'volatile acidity']"
13,quality_range,0.4,['quality'],"['alcohol' 'chlorides' 'citric acid' 'density' 'fixed acidity'
 'free sulfur dioxide' 'pH' 'residual sugar' 'sulphates'
 'total sulfur dioxide' 'type' 'volatile acidity']"
