,dense value,accuracy,duration,X_train columns,Y_train columns
100,100,0.9866092205047607,11.221402168273926,"[0, 1, 2]",[3]
200,200,0.9863013625144958,10.957903146743774,"[0, 1, 2]",[3]
300,300,0.9864552617073059,11.570269107818604,"[0, 1, 2]",[3]
400,400,0.9859935641288757,12.706798791885376,"[0, 1, 2]",[3]
500,500,0.9872248768806458,12.366191864013672,"[0, 1, 2]",[3]
600,600,0.9866092205047607,12.334514617919922,"[0, 1, 2]",[3]
700,700,0.9863013625144958,12.63131046295166,"[0, 1, 2]",[3]
800,800,0.9859935641288757,12.50518012046814,"[0, 1, 2]",[3]
900,900,0.9852239489555359,12.772435188293457,"[0, 1, 2]",[3]
1000,1000,0.9870709776878357,13.245361566543579,"[0, 1, 2]",[3]
1100,1100,0.9867631196975708,13.31756591796875,"[0, 1, 2]",[3]
1200,1200,0.9866092205047607,13.620747089385986,"[0, 1, 2]",[3]
1300,1300,0.9864552617073059,14.19711971282959,"[0, 1, 2]",[3]
1400,1400,0.9861474633216858,15.408826351165771,"[0, 1, 2]",[3]
1500,1500,0.9866092205047607,15.866489171981812,"[0, 1, 2]",[3]
1600,1600,0.9866092205047607,15.435407638549805,"[0, 1, 2]",[3]
1700,1700,0.9866092205047607,14.701894998550415,"[0, 1, 2]",[3]
1800,1800,0.9863013625144958,14.933697938919067,"[0, 1, 2]",[3]
1900,1900,0.9864552617073059,14.862069368362427,"[0, 1, 2]",[3]
2000,2000,0.9864552617073059,15.95547604560852,"[0, 1, 2]",[3]
