,dense value,accuracy,duration,X_train columns,Y_train columns
100,100,0.9830769300460815,9.271710872650146,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
200,200,0.9738461375236511,9.71778130531311,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
300,300,0.9830769300460815,10.93771767616272,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
400,400,0.9830769300460815,10.753597497940063,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
500,500,0.9800000190734863,11.63594126701355,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
600,600,0.9815384745597839,11.55986499786377,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
700,700,0.9723076820373535,11.769217252731323,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
800,800,0.9784615635871887,12.41580843925476,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
900,900,0.9800000190734863,12.510554790496826,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
1000,1000,0.9800000190734863,13.199585914611816,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
1100,1100,0.9769230484962463,14.093180656433105,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
1200,1200,0.9784615635871887,13.663928270339966,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
1300,1300,0.9784615635871887,13.712065935134888,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
1400,1400,0.9769230484962463,14.50356650352478,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
1500,1500,0.9784615635871887,15.073412895202637,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
1600,1600,0.9630769491195679,15.136889219284058,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
1700,1700,0.9769230484962463,15.157962322235107,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
1800,1800,0.9769230484962463,15.171928882598877,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
1900,1900,0.9769230484962463,14.26241397857666,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
2000,2000,0.9769230484962463,15.67836618423462,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
