,dense value,accuracy,duration,X_train columns,Y_train columns
100,100,0.49084192514419556,10.613633632659912,"[0, 1, 2]",[3]
200,200,0.4865322411060333,11.177397727966309,"[0, 1, 2]",[3]
300,300,0.4856087565422058,11.649539709091187,"[0, 1, 2]",[3]
400,400,0.483761727809906,11.936748266220093,"[0, 1, 2]",[3]
500,500,0.483761727809906,12.134521245956421,"[0, 1, 2]",[3]
600,600,0.4862244129180908,12.296051979064941,"[0, 1, 2]",[3]
700,700,0.48899492621421814,12.724895000457764,"[0, 1, 2]",[3]
800,800,0.48807141184806824,13.019856452941895,"[0, 1, 2]",[3]
900,900,0.48807141184806824,13.25133204460144,"[0, 1, 2]",[3]
1000,1000,0.48237648606300354,13.532132625579834,"[0, 1, 2]",[3]
1100,1100,0.4859165847301483,14.3689284324646,"[0, 1, 2]",[3]
1200,1200,0.4642142653465271,13.979782819747925,"[0, 1, 2]",[3]
1300,1300,0.4874557554721832,15.277875185012817,"[0, 1, 2]",[3]
1400,1400,0.48453131318092346,15.008341789245605,"[0, 1, 2]",[3]
1500,1500,0.48545482754707336,15.813828945159912,"[0, 1, 2]",[3]
1600,1600,0.4860704839229584,15.050719022750854,"[0, 1, 2]",[3]
1700,1700,0.4888409972190857,14.71184515953064,"[0, 1, 2]",[3]
1800,1800,0.4720640182495117,14.784036874771118,"[0, 1, 2]",[3]
1900,1900,0.4705248475074768,16.542381525039673,"[0, 1, 2]",[3]
2000,2000,0.45928889513015747,16.627565383911133,"[0, 1, 2]",[3]
